ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
900001,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,10.230,,,,4.117,,,,0,72.000,0,72.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900002,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0.5_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,4.248,,,,2.486,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900003,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0.75_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,1.246,,,,0.921,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900004,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS1_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,1.110,,,,0.789,,,,0,72.000,0,72.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900005,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS3_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,0.805,,,,0.714,,,,0,72.000,0,72.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900006,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.398,,,,0.078,,,,0,168.000,0,168.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900007,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0.5_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,2.285,,,,0.922,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900008,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0.75_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,1.098,,,,0.848,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900009,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS1_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.997,,,,0.591,,,,0,168.000,0,168.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900010,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS3_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.424,,,,0.589,,,,0,168.000,0,168.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
